fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
13133,89.3,34.3,78.2,61.9,47.1,0.5
13135,,,,,54.0,
13137,86.4,31.2,75.6,59.0,61.6,1.2
13139,86.6,34.0,76.8,60.5,55.0,1.7
13141,90.4,35.0,79.4,63.2,47.9,0.5
13143,89.1,33.8,78.6,61.7,54.3,0.6
13145,90.7,37.1,80.4,64.9,52.4,0.3
13147,87.8,34.0,78.1,61.3,51.9,0.8
13149,88.8,34.0,77.9,62.0,54.0,1.2
13151,89.4,34.1,78.7,62.1,51.4,0.8
13153,91.0,37.4,80.6,65.0,49.7,0.0
13155,90.3,39.4,80.3,65.8,47.8,0.0
13157,88.0,33.4,77.4,60.9,52.6,1.1
13159,90.6,31.5,78.6,62.0,47.2,0.6
13161,91.2,39.3,80.6,66.0,49.3,0.1
13163,89.9,35.8,79.6,63.6,47.0,0.3
13165,90.3,36.4,79.8,64.1,47.4,0.2
13167,91.5,36.0,80.2,64.3,48.6,0.3
13169,90.9,34.6,79.7,63.6,50.0,0.4
13171,89.1,35.7,78.7,63.1,51.6,0.3
13173,90.8,40.4,80.3,66.8,50.9,0.0
13175,91.3,36.9,80.5,64.9,48.0,0.0
13177,90.4,38.5,80.5,65.5,50.6,0.1
13179,90.4,42.6,81.2,67.8,51.6,0.0
13181,90.0,35.2,79.4,62.9,46.8,0.4
13183,90.9,40.1,80.6,66.6,50.9,0.0
13185,90.7,41.0,80.4,67.1,51.8,0.0
13187,83.2,29.7,72.9,57.0,65.0,2.9
13189,90.0,35.4,79.2,63.3,47.0,0.3
13191,89.6,45.2,81.9,68.6,50.7,0.0
13193,90.0,36.6,79.3,64.2,48.4,0.2
13195,88.2,33.5,77.6,61.1,50.6,1.6
13197,89.1,35.5,78.7,63.2,52.4,0.0
13199,89.0,35.0,78.4,62.6,51.8,0.3
13201,90.4,40.5,80.6,66.6,53.4,0.0
13205,89.8,39.7,80.2,66.1,51.5,0.0
13207,89.8,34.3,78.8,62.9,50.1,0.3
13209,91.5,39.8,81.0,66.3,48.5,0.1
13211,88.3,35.1,78.2,61.8,49.6,0.6
13213,88.1,32.4,77.4,60.3,58.7,1.7
13215,91.2,37.0,80.7,65.1,51.1,0.4
13217,88.9,34.3,78.8,62.1,50.8,1.1
13219,88.9,35.1,78.3,62.0,49.3,0.0
13221,89.0,33.9,78.1,61.7,49.2,0.5
13223,88.6,33.1,77.7,61.0,53.4,2.6
13225,91.1,37.9,80.8,65.2,50.4,0.1
13227,84.4,32.5,74.9,58.7,57.6,2.4
13229,91.9,39.1,81.0,66.8,49.4,0.0
13231,89.1,35.7,78.6,63.1,51.7,0.3
13233,89.3,33.6,78.6,61.6,54.2,0.6
13235,91.1,37.1,80.3,64.9,48.6,0.0
13237,90.7,33.3,79.1,62.7,47.1,0.5
13239,89.5,37.4,79.1,64.3,55.1,0.2
13241,80.5,29.6,71.2,55.8,71.8,2.5
13243,90.3,36.3,79.2,64.5,55.4,0.2
13245,92.0,38.3,81.5,65.7,45.6,0.8
13247,89.3,34.3,78.9,62.1,51.0,1.3
13249,90.1,36.7,79.3,64.3,50.4,0.1
